Age of respondent;Rs religious preference;How fundamentalist is r currently;Religion in which raised;Tried to convince others to accept jesus;Is homosexual sex wrong?
24;Catholic;Moderate;Catholic;No;Not applicable
69;Catholic;Moderate;Catholic;Yes;Not applicable
57;Protestant;Fundamentalist;Protestant;No;Not wrong at all
74;Protestant;Fundamentalist;Catholic;No;Always wrong
25;Protestant;Liberal;Protestant;No;Not wrong at all
27;Catholic;Moderate;Catholic;Yes;Not applicable
31;Catholic;Moderate;Catholic;Yes;Always wrong
69;Catholic;Moderate;Catholic;No;Always wrong
No answer;Protestant;Moderate;Protestant;Yes;Almost always wrong
60;Christian;Moderate;Protestant;Yes;Always wrong
20;None;Liberal;None;Yes;Not applicable
30;None;Liberal;Catholic;No;Not wrong at all
50;Protestant;Liberal;Protestant;No;Wrong only sometimes
69;Protestant;Moderate;Protestant;No;Not wrong at all
53;Jewish;Liberal;Protestant;No;Not wrong at all
46;None;Liberal;Protestant;No;Not wrong at all
26;None;Liberal;Christian;No;Always wrong
27;Protestant;Moderate;Catholic;No;Not applicable
40;Protestant;Liberal;None;No;Not wrong at all
56;Protestant;Moderate;Catholic;Yes;Wrong only sometimes
37;Catholic;Moderate;Catholic;No;Not wrong at all
69;Protestant;Fundamentalist;Catholic;Yes;Always wrong
50;Protestant;Fundamentalist;Protestant;No;Always wrong
37;Christian;Moderate;Protestant;Yes;Always wrong
53;None;Liberal;Jewish;No;Wrong only sometimes
51;None;Liberal;None;No;Not wrong at all
43;None;Liberal;None;No;Not wrong at all
49;Catholic;Moderate;Catholic;No;Not wrong at all
55;Protestant;Moderate;Protestant;Yes;Always wrong
29;Protestant;Moderate;Protestant;Yes;Not applicable
31;None;Liberal;Protestant;No;Not applicable
59;Catholic;Moderate;Catholic;Yes;Not applicable
67;Protestant;Fundamentalist;Protestant;Yes;Always wrong
41;Protestant;Fundamentalist;Protestant;Yes;Always wrong
87;Protestant;Liberal;Protestant;No;Almost always wrong
47;Protestant;Fundamentalist;Protestant;Yes;Not applicable
71;Protestant;Fundamentalist;Protestant;Yes;Always wrong
62;Protestant;Moderate;Protestant;No;Not applicable
25;None;Liberal;Protestant;No;Always wrong
33;None;Liberal;None;No;Not applicable
54;Catholic;Moderate;Catholic;Yes;Not applicable
54;Protestant;Fundamentalist;Protestant;Yes;Not applicable
45;Catholic;Moderate;Catholic;No;Always wrong
23;Catholic;Moderate;Catholic;No;Not applicable
20;Protestant;Fundamentalist;Catholic;Yes;Not wrong at all
34;Catholic;Moderate;Catholic;No;Not wrong at all
69;Protestant;Fundamentalist;Protestant;Yes;Always wrong
57;Christian;Moderate;Protestant;Yes;Always wrong
29;Catholic;Moderate;Catholic;No;Not applicable
33;Catholic;Moderate;Catholic;No;Not wrong at all
83;Protestant;Na-excluded;Protestant;No;Not wrong at all
37;Buddhism;Na-excluded;Orthodox-christian;No;Not wrong at all
20;Catholic;Moderate;Catholic;No;Not wrong at all
59;Catholic;Moderate;Catholic;No;Always wrong
73;Protestant;Fundamentalist;Protestant;No;Always wrong
53;Catholic;Moderate;Catholic;No;Not applicable
36;Protestant;Moderate;Protestant;Yes;No answer
56;Catholic;Moderate;Catholic;No;Always wrong
43;Catholic;Moderate;Catholic;Yes;Not applicable
55;Catholic;Moderate;Protestant;No;Not wrong at all
60;Inter-nondenominational;Na-excluded;Don't know;No;Not wrong at all
66;Orthodox-christian;Liberal;Orthodox-christian;No;Always wrong
36;Protestant;Liberal;Protestant;No;Not applicable
89 or older;Protestant;Fundamentalist;Catholic;Yes;Always wrong
40;None;Liberal;Catholic;No;Not wrong at all
69;Catholic;Moderate;Catholic;Yes;Not applicable
70;Catholic;Moderate;Catholic;No;Not wrong at all
80;Protestant;Fundamentalist;Protestant;No;Always wrong
45;Catholic;Moderate;Protestant;No;Not applicable
27;None;Liberal;None;No;Not applicable
57;Protestant;Fundamentalist;Protestant;Yes;Not applicable
55;Protestant;Fundamentalist;Protestant;No;Not wrong at all
54;Protestant;Fundamentalist;Protestant;No;Always wrong
63;Protestant;Moderate;Catholic;Yes;Not applicable
60;Protestant;Fundamentalist;None;Yes;Always wrong
87;None;Liberal;Protestant;No;Always wrong
54;Protestant;Fundamentalist;Protestant;Yes;Always wrong
49;Protestant;Fundamentalist;Protestant;Yes;Always wrong
66;None;Liberal;Protestant;No;Not wrong at all
29;None;Liberal;Protestant;Yes;Not wrong at all
57;Protestant;Fundamentalist;Protestant;Yes;Always wrong
37;None;Liberal;None;No;Not wrong at all
35;None;Liberal;Protestant;No;Not wrong at all
45;Protestant;Liberal;Catholic;Yes;Wrong only sometimes
50;None;Liberal;Protestant;No;Not applicable
79;Catholic;Moderate;Catholic;No;Not applicable
87;None;Liberal;None;No;Not applicable
47;Protestant;Fundamentalist;Protestant;Yes;Not wrong at all
63;Protestant;Moderate;Protestant;Yes;Always wrong
48;None;Liberal;None;No;Not applicable
42;None;Liberal;None;No;Not wrong at all
37;Protestant;Moderate;Protestant;Yes;Not applicable
39;None;Liberal;Buddhism;No;Not applicable
49;Protestant;Na-excluded;Protestant;Yes;Always wrong
33;Catholic;Moderate;Catholic;No;Almost always wrong
43;Christian;Moderate;None;Yes;Don't know
No answer;Catholic;Moderate;Catholic;No;Don't know
77;Catholic;Moderate;Catholic;Yes;Not applicable
47;Christian;Moderate;Protestant;Yes;Always wrong
47;Protestant;Fundamentalist;Protestant;No;Not applicable
26;Catholic;Moderate;Catholic;No;Always wrong
46;None;Liberal;None;No;Wrong only sometimes
55;Protestant;Fundamentalist;Protestant;No;Not applicable
50;Protestant;Moderate;Protestant;No;Not wrong at all
